PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Bobby Brown,HOU,32,25,123,0.4,0.8,0.8,0.4,1.6,5.1,6.6
Paul Pierce,LAC,39,25,277,3.1,1.6,0.9,0.3,9.4,6.4,15.8
Toney Douglas,MEM,31,24,394,0,4.4,1.9,0.1,3.5,3.7,7.2
Georges Niang,IND,24,23,93,2.6,3.1,0.5,0.5,6.7,5.2,11.9
Anthony Bennett,BKN,24,23,264,2.5,1.6,0.4,0,10.2,6.5,16.7
Marcelo Huertas,LAL,34,23,237,0.8,4.1,1.8,0,6.3,4.5,10.7
Malachi Richardson,SAC,21,22,198,0.5,2.2,1.2,0.2,2.9,8.2,11.2
Malik Beasley,DEN,20,22,165,0,3.8,0.9,0.3,4.7,5.2,9.9
AJ Hammons,DAL,24,22,163,6.5,1.5,0.6,0,13,2.4,15.3
CJ Wilcox,ORL,26,22,108,0,2.2,1.3,0.4,4.4,5.8,10.2
Josh McRoberts,MIA,30,22,381,4.8,3,1.4,0,10.1,3.4,13.5
Georgios Papagiannis,SAC,19,22,355,5.8,0.5,0.8,0,18.1,2.8,21
Marshall Plumlee,NYK,24,21,170,6.8,2.5,2.5,0,17.8,7.1,24.8
Nick Collison,OKC,36,20,128,5.3,1.9,1.9,0.8,14.3,1.5,15.8
Briante Weber,CHA,24,20,205,0.7,9.4,3.3,0,3.3,4.2,7.5
David Nwaba,LAL,24,20,397,0.8,3.3,1.7,0,9.2,6.3,15.5
Mike Miller,DEN,37,20,151,3.5,1,0.3,0,2.9,3.2,6
Daniel Ochefu,WAS,23,19,75,4.5,3.8,1.3,0,15.4,3.8,19.2
Joel Anthony,SAS,34,19,122,3.1,1.6,1.2,0.8,18.1,2.4,20.5
Stephen Zimmerman,ORL,20,19,108,8,1.3,2.2,0,16,3.6,19.6
Jordan Crawford,NOP,28,19,442,0.1,2.6,1.5,0,3.1,3.1,6.3
