ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"Holiday, Jrue NO",67,61,32.7,23.5,104.6,107.5,0.532,0.51,13.3,31.5,2.2,10.6,6.4,35.30%,2.20%,1.60%,16.70%
"Bradley, Avery BOS",55,55,33.4,21.8,105.1,107.5,0.548,0.533,8.8,35.7,4,16.2,10.1,10.90%,1.80%,0.50%,9.70%
"Richardson, Josh MIA",53,34,30.5,16.8,102.3,107.5,0.493,0.467,11.7,44.2,2.4,9.2,5.8,12.70%,1.90%,1.90%,10.60%
"Ariza, Trevor HOU",80,80,34.7,14.2,112.7,107.6,0.548,0.528,11.7,69.5,2.1,15.9,9,8.80%,2.50%,0.60%,7.90%
"Ibaka, Serge TOR",79,79,30.7,21,109.4,107.6,0.566,0.543,10.9,32.3,-,-,-,5.20%,-,-,9.20%
"Smith, Ish DET",81,32,24.1,20.4,103.6,107.6,0.477,0.458,9.6,14,1.1,12.4,6.6,32.40%,1.60%,1.40%,12.40%
"Tucker, P.J. TOR",81,21,27.6,11.3,109.8,107.8,0.516,0.485,14.9,40.7,-,-,-,6.20%,-,-,11.20%
"Gibson, Taj OKC",78,71,25.5,19.2,108,107.8,0.543,0.517,15.9,1.8,-,-,-,5.90%,-,-,11.90%
"Thompson, Klay GS",78,78,34,26,111.7,107.8,0.592,0.565,13.5,47,2.2,9.2,5.9,9.20%,1.20%,1.20%,8.00%
"Porter, Otto WSH",80,80,32.6,15.1,129.1,107.8,0.628,0.608,12.3,42.5,5.1,17.1,11.1,6.70%,2.20%,1.30%,4.90%
"Smart, Marcus BOS",79,24,30.4,18.8,101.8,107.8,0.486,0.422,27.1,44.3,3.7,10.4,7.1,22.00%,2.60%,1.20%,15.60%
"Gortat, Marcin WSH",82,82,31.2,14.7,116.9,107.9,0.593,0.579,15.3,0.3,10.6,26.8,18.7,6.70%,0.80%,2.00%,13.80%
"Beverley, Patrick HOU",67,67,30.7,14,115.9,107.9,0.546,0.521,13.4,53,5,15.8,10.4,18.70%,2.30%,1.00%,14.60%
"Johnson, Joe UTA",78,14,23.6,18.5,108.9,108.1,0.542,0.521,10.1,41.2,2.1,12.8,7.6,12.60%,1.00%,0.80%,9.60%
"James, LeBron CLE",74,74,37.8,29.8,119.5,108.1,0.619,0.594,26.6,25.4,4,20.7,12.6,40.20%,1.60%,1.30%,16.10%
"Patterson, Patrick TOR",65,8,24.6,12.5,115.3,108.1,0.542,0.523,11.2,65.9,4.4,16.3,10.4,6.60%,1.30%,1.20%,8.50%
"Carter, Vince MEM",73,15,24.7,14.9,112.3,108.2,0.542,0.508,18,60.4,2.2,12.5,7.2,11.50%,1.70%,1.90%,8.50%
"Lopez, Robin CHI",81,81,28,17.5,107.7,108.2,0.511,0.493,9.7,0.3,11.5,13.2,12.3,5.60%,0.40%,4.10%,10.00%
"Carroll, DeMarre TOR",72,72,26.1,15.5,110.1,108.2,0.53,0.499,16.2,58.2,3.8,12.7,8.3,5.70%,2.20%,1.20%,8.20%
"Biyombo, Bismack ORL",81,27,22.1,13.1,105.5,108.2,0.546,0.528,36.9,0,9.3,25.6,17.2,5.90%,0.70%,4.10%,17.70%
"Harris, Tobias DET",82,48,31.3,21.7,112.9,108.2,0.568,0.532,17.9,29.5,2.6,15.6,8.8,8.80%,1.20%,1.30%,7.60%
"Plumlee, Mason DEN",81,64,26.5,18.1,114,108.2,0.558,0.536,27.9,1,-,-,-,19.40%,-,-,15.10%
"McConnell, T.J. PHI",81,51,26.3,14.4,106.6,108.2,0.504,0.472,14.3,10.7,2,11,6.5,37.30%,3.00%,0.40%,22.40%
"Batum, Nicolas CHA",77,77,34,22.2,105,108.3,0.529,0.472,24.9,41.5,1.9,18.4,10.1,27.60%,1.60%,1.00%,15.00%
"Morris, Markieff WSH",76,76,31.2,20.4,105.9,108.3,0.54,0.497,20.2,22,5.1,18.2,11.7,7.80%,1.70%,1.50%,11.60%
"Crowder, Jae BOS",72,72,32.4,17.1,118.3,108.3,0.613,0.572,24.4,54.7,2.3,17.4,9.9,10.10%,1.50%,0.80%,8.90%
"Oladipo, Victor OKC",67,67,33.2,21.3,106.2,108.3,0.534,0.51,12.4,37.8,1.9,12.6,7.2,12.40%,1.70%,0.80%,10.60%
"Wall, John WSH",78,78,36.4,30.6,110.7,108.4,0.541,0.482,29.4,19,2.4,10.6,6.5,46.70%,2.70%,1.40%,16.20%
"Leuer, Jon DET",75,34,25.9,17.4,112.8,108.4,0.551,0.518,15.2,25.9,5.5,17.5,11.3,8.60%,0.80%,1.10%,8.70%
"Len, Alex PHX",77,34,20.3,17.6,107.5,108.4,0.553,0.5,32.4,2.6,10.6,25.3,17.8,4.20%,1.20%,5.10%,15.50%
"Sabonis, Domantas OKC",81,66,20.1,15.4,93.1,108.4,0.469,0.452,9.1,33.1,3.1,16.5,9.8,7.20%,1.20%,1.60%,14.00%
"Williams, Marvin CHA",76,76,30.2,16.3,111.4,108.6,0.551,0.51,18.6,50.3,4.2,19.8,12,7.10%,1.30%,2.00%,7.20%
"Felton, Raymond LAC",80,11,21.3,16.4,101.2,108.6,0.496,0.475,9.7,28,2.2,11.9,7.2,16.30%,1.90%,1.10%,13.10%
"Mbah a Moute, Luc Richard LAC",80,76,22.3,11.6,111,108.6,0.581,0.562,15.6,29.1,2.8,7.7,5.3,3.10%,2.30%,1.60%,10.00%
"Conley, Mike MEM",69,68,33.2,26.4,120.9,108.7,0.604,0.545,31.3,41.5,1.5,10.8,6,34.30%,2.10%,0.80%,11.70%
"Dragic, Goran MIA",73,73,33.7,27,112.8,108.7,0.575,0.527,26.5,25.7,2.8,9.9,6.3,29.00%,1.80%,0.40%,14.10%
"Saric, Dario PHI",81,36,26.3,24.6,96.2,108.7,0.508,0.468,18.6,36.8,5.8,20.8,13.3,14.30%,1.30%,1.10%,15.20%
"Jokic, Nikola DEN",73,59,27.9,23.6,125.8,108.7,0.64,0.605,22,16.3,11.6,27.2,19.5,28.70%,1.50%,2.10%,15.20%
"Ennis III, James MEM",64,28,23.5,13,112.8,108.7,0.581,0.534,26.8,42.7,5.1,14.9,9.9,6.40%,1.60%,1.20%,13.80%
"Parker, Tony SA",63,63,25.2,20.1,107.4,108.8,0.514,0.486,14.9,12.1,0.7,7.3,4,27.50%,1.10%,0.10%,12.50%
"Porzingis, Kristaps NY",66,65,32.8,24.4,107.8,108.8,0.546,0.507,20.1,31.9,5.5,18.2,11.8,7.40%,1.10%,4.90%,9.70%
"Schroder, Dennis ATL",79,78,31.5,27.7,103.1,108.9,0.533,0.493,18,24.2,1.9,9,5.5,35.40%,1.50%,0.60%,16.30%
"Barnes, Matt GS",74,18,24,15.6,101.9,109,0.514,0.483,14.8,55.6,-,-,-,15.80%,-,-,17.30%
"Caldwell-Pope, Kentavious DET",76,75,33.3,19.2,107.3,109,0.519,0.481,16.6,47.1,2.3,8.7,5.3,11.20%,1.80%,0.40%,7.90%
"Hill, Solomon NO",80,71,29.7,11.5,102.6,109.1,0.527,0.481,21.5,56.5,2.3,11.4,6.8,8.20%,1.50%,1.10%,13.30%
"Hardaway Jr., Tim ATL",79,30,27.3,22.5,110,109.1,0.568,0.537,18,45.7,1.8,9.5,5.7,14.20%,1.30%,0.60%,9.50%
"Thompson, Tristan CLE",78,78,29.9,11.3,128.3,109.2,0.594,0.6,24.3,0.7,13.9,19.6,16.9,4.60%,0.80%,2.90%,10.80%
"Lowry, Kyle TOR",60,60,37.4,24.8,122.8,109.4,0.623,0.569,32.6,51,2.4,12,7.2,29.70%,2.00%,0.70%,13.80%
"Cunningham, Dante NO",66,35,25,10.7,114,109.4,0.586,0.584,4.5,50.4,3.6,14.2,8.9,3.10%,1.20%,1.40%,7.00%
"Morris, Marcus DET",79,79,32.5,20.3,104.7,109.4,0.508,0.477,14.4,35.5,3.2,12.8,7.8,9.40%,1.00%,0.80%,7.40%
"Teague, Jeff IND",82,82,32.4,22,115.1,109.5,0.574,0.492,39.6,27.7,1.4,12.4,7,36.40%,1.90%,1.10%,16.50%
"Dieng, Gorgui MIN",82,82,32.4,14,114.2,109.5,0.555,0.514,20.6,6.5,8.1,20.5,14.2,8.60%,1.70%,3.10%,12.70%
"Towns, Karl-Anthony MIN",82,82,37,27.4,120.5,109.5,0.618,0.576,24.1,18.6,11.2,27.8,19.4,13.10%,0.90%,2.90%,11.30%
