ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"36 Bosh, Chris TOR",67,67,36.2,27.7,116.5,105.5,0.588,0.499,54.4,2.4,8.4,20.1,14.2,12.10%,1.40%,2.20%,10.70%
"37 Outlaw, Travis POR",82,6,26.7,26,101.7,107.3,0.499,0.453,30.5,10.5,5.2,15,10.1,8.90%,1.50%,2.20%,8.90%
"38 Horford, Al ATL",81,77,31.4,16,108.4,106.2,0.539,0.499,31.7,0.7,11.4,24.5,18,7.90%,1.20%,2.20%,15.30%
"39 Granger, Danny IND",80,80,36,23.2,109.6,106.8,0.571,0.517,31.4,35.1,3.4,15.2,9.2,9.60%,1.60%,2.20%,11.10%
"40 James, LeBron CLE",75,74,40.4,33.5,116.3,103.6,0.568,0.518,47,21.9,4.9,17.8,11.1,37.30%,2.40%,2.10%,11.40%
"41 Hayes, Chuck HOU",79,44,19.9,8.5,107.1,96.6,0.512,0.511,10.9,1.4,9.6,20.8,15.3,8.40%,2.90%,2.00%,21.10%
"42 Durant, Kevin SEA",80,80,34.6,28.1,99.7,110.4,0.519,0.451,32.8,15,2.8,10.9,6.9,12.00%,1.40%,1.90%,12.90%
"43 Collison, Nick SEA",78,35,28.5,16.2,108.6,107.3,0.537,0.502,26.1,0.3,12.5,23.3,17.9,7.90%,1.10%,1.90%,14.20%
"44 Gay, Rudy MEM",81,81,37,24.9,105.7,110.4,0.547,0.511,23.3,28.6,5.2,13.5,9.3,9.30%,1.90%,1.90%,11.30%
"45 Nowitzki, Dirk DAL",77,77,36,28.8,118.1,104.1,0.585,0.51,41.4,16.7,4.1,22.8,13.8,17.80%,1.00%,1.90%,9.30%
"46 Wallace, Gerald CHA",62,59,38.3,24.6,104.2,106.2,0.547,0.488,47.1,24.3,2.8,15.3,9,15.90%,2.90%,1.90%,14.10%
"47 Garcia, Francisco SAC",79,20,26.5,20.7,108.4,108.9,0.575,0.537,27.6,38.4,3,11.7,7.4,10.20%,2.30%,1.80%,13.20%
"48 McDyess, Antonio DET",78,78,29.3,15.3,110,100.5,0.511,0.488,26,0.3,10.6,24.3,17.4,6.20%,1.50%,1.80%,10.10%
"49 Odom, Lamar LAL",77,77,37.9,16.5,116.5,103.7,0.582,0.544,41.3,14.2,7.8,22.7,15.6,13.80%,1.30%,1.80%,14.20%
"50 Blount, Mark MIA",69,46,22.3,19.8,96.9,110.6,0.505,0.479,26.8,8.5,5.3,15.3,10.2,4.80%,1.10%,1.80%,10.80%
"Najera, Eduardo DEN",78,3,21.3,11.9,115.8,106,0.57,0.545,24.2,39.9,7.5,14.3,11,7.80%,2.00%,1.70%,12.70%
"Nocioni, Andres CHI",82,27,24.6,24.5,104.2,108.8,0.549,0.504,27.7,39.5,2.6,17,9.5,8.30%,0.60%,1.70%,11.90%
"Hill, Grant PHX",70,68,31.7,18,114.9,108.3,0.576,0.526,27.5,14.6,4.1,13.1,9,13.10%,1.50%,1.60%,10.70%
"Ross, Quinton LAC",76,44,19.8,12,96,110.6,0.43,0.404,17.9,6.3,4.1,9.1,6.6,9.40%,1.50%,1.60%,7.40%
