ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"Pickett, Tim FSU",29,29,33.1,28,102.4,90.6,0.52,0.478,20.4,59.3,3.7,15.3,8.8,14.30%,5.00%,1.20%,11.50%
"Maclin, Tamarr MOST",29,21,22.4,21.9,95.9,90.7,0.483,0.444,69.2,0,15.1,20.8,16.3,4.70%,2.00%,4.20%,18.20%
"Easley, Kellen MOST",29,21,20.3,17.1,103.1,90.8,0.508,0.473,18.8,18.8,7.6,12.7,9.2,8.80%,4.20%,1.90%,15.20%
"Holmes, Dave MANH",29,5,27.6,22.5,116.4,90.8,0.58,0.506,49.2,18.7,11.1,20.2,14.2,7.90%,3.30%,1.60%,12.40%
"Vincent, Branden MSST",31,0,17.4,15,107.5,90.8,0.539,0.533,47.6,0,15.4,13.8,13.3,7.60%,1.80%,4.10%,19.10%
"Vroman, Jackson IOWAST",31,31,30.5,22.8,104.1,90.8,0.558,0.552,54.4,2.1,10,24.8,16.3,12.00%,1.90%,5.10%,18.30%
"Williams, T.J. EWU",31,30,20,17.5,98.5,90.8,0.613,0.586,52.3,0,11.7,23.7,16.5,4.30%,2.30%,2.80%,26.20%
"Goldsberry, John UNCWIL",31,27,27.6,9.9,119.7,90.9,0.619,0.575,50,63,2.7,8.5,5.2,20.80%,4.00%,0.40%,23.30%
"Bowers, Timmy MSST",31,31,34,22.4,111.3,90.9,0.595,0.569,23.1,49.1,2.6,10.3,6,18.20%,3.20%,1.70%,17.20%
"Rowe, Justin MAINE",25,25,29,17.8,105.9,90.9,0.62,0.611,64.8,0,9.8,24.6,16.7,5.20%,0.40%,13.80%,21.50%
"Lorbek, Erazem MSU",35,16,15.5,22.2,107.1,91,0.593,0.571,35,16,8.9,17.2,12.1,8.90%,2.50%,4.20%,16.80%
"Arline, Lewis LAMAR",27,26,30.3,15.2,115.3,91,0.614,0.56,77.3,0,13.3,18.5,14.6,4.60%,2.80%,1.90%,18.30%
"Beacham, Donny UTA",29,0,18.4,16.1,91.5,91.1,0.553,0.51,49,30.2,10.9,13,11,9.90%,3.70%,3.20%,30.00%
"Howard, Josh WAKE",31,31,32.3,27.9,121.4,91.1,0.601,0.539,40.7,33.2,11.9,15.9,13.1,13.40%,3.70%,5.10%,14.00%
"Korver, Kyle CREIGH",34,34,31.8,23.7,130.2,91.1,0.68,0.633,30.7,68.8,5.3,18.6,11.2,17.70%,2.70%,2.10%,13.30%
"Moore, James NMSU",23,22,30.8,26.7,123.8,91.1,0.651,0.584,55.1,1.5,6.8,16.9,11.1,8.30%,3.30%,6.50%,12.60%
"Williams, Shelden DUKE",33,23,19.2,22.2,104.9,91.1,0.562,0.516,69.6,0.5,14.8,19.9,15.9,4.50%,2.00%,7.70%,20.00%
"Frazier, Winsome MSST",31,0,17.2,20,105.7,91.2,0.56,0.528,18.6,55.3,4.4,6.6,5.1,9.10%,3.80%,1.50%,16.30%
"Jones, Scotty UVM",33,3,20.1,17.7,113.3,91.2,0.597,0.565,46,0.6,10.7,17.9,13.3,9.50%,2.20%,6.60%,16.80%
"Harris, Devin WIS",32,32,34.4,19.4,119.3,91.2,0.603,0.556,41.8,48.1,2.7,14.3,7.8,17.70%,3.80%,1.70%,13.10%
"Adams, Hassan ARIZ",32,5,17.9,24.1,107.1,91.2,0.543,0.504,25.3,14.1,10,9.7,9.1,5.80%,3.90%,1.30%,13.60%
"Holden, Tahj MD",30,25,27.9,16.5,104.7,91.3,0.522,0.45,57.3,27.1,4.5,11.6,7.5,10.10%,2.50%,7.20%,15.30%
