ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Reed, Justin MISS",31,29,28.1,28.2,108.6,95.1,0.552,0.491,40.5,8.3,11.4,17.9,13.3,9.60%,1.70%,1.90%,13.70%
"Fields, Courtney IONA",27,26,28.4,24.4,100,95.1,0.564,0.502,57.1,21.2,10.7,15.2,11.9,14.30%,3.50%,3.00%,22.50%
"Butler, Caron UCONN",34,34,36,27.5,114.5,95.1,0.567,0.513,38.1,14.4,10.5,11.7,10,16.70%,3.30%,1.00%,13.90%
"Bridges, Laurie UL-Laf",29,11,21.3,21.7,90.7,95.1,0.462,0.406,40.3,14.7,8.3,10.3,8.6,16.30%,2.60%,0.60%,20.20%
"Ides, Martin DAVDSN",30,30,27.2,21.3,94.8,95.1,0.515,0.467,33.7,5.7,7.5,14.6,10.2,10.40%,1.10%,4.50%,19.60%
"Millar, Osei HOFSTR",30,1,18.8,16.1,94.1,95.2,0.494,0.43,51.2,37.2,7.2,16.6,10.8,5.90%,1.80%,5.10%,19.00%
"Wilson, Justin UMBC",29,3,22.6,17.8,116,95.2,0.66,0.651,68.4,28.9,3.9,7.1,5,20.90%,3.80%,0.30%,19.50%
"Stepp, Blake GONZ",31,29,26.6,18.5,110,95.2,0.564,0.502,40.2,61.7,2.4,12,7,25.00%,1.90%,0.20%,21.00%
"Jonzen, Fredrik OKST",32,32,32.2,20.9,104.4,95.2,0.535,0.48,48.8,4.6,8.9,14.5,10.9,9.70%,1.20%,1.20%,17.70%
"Austin, Craig COL",28,28,36.7,25.9,107,95.2,0.562,0.491,47.4,36.5,4.3,14.3,8.8,15.20%,1.30%,1.10%,12.50%
"Battles, Damian CCSU",32,32,34.8,22.3,107.9,95.2,0.557,0.501,34.5,47.2,2,9.2,5.2,20.30%,2.20%,0.80%,17.30%
"Cleveland, T.J. ARK",29,6,18.7,15.9,85,95.2,0.451,0.364,61.2,60.2,2.8,9.1,5.3,20.10%,5.70%,0.40%,28.10%
"Zavackas, Donatas PITT",33,33,31.2,18.3,117,95.3,0.591,0.508,56.2,49.4,8.4,11.5,9.1,11.20%,0.80%,1.10%,16.00%
"Washington, Kareem UMBC",29,5,25.6,19.3,106.3,95.3,0.603,0.578,39.7,38.2,3.5,9.2,5.8,19.90%,3.20%,0.90%,20.60%
