,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
165,"Cedrick Williams, UNCW (CAA)",Sr.,6-9,F,32,41,1.28
165,"Karachi Edo, Fresno St. (MWC)",So.,6-6,F,32,41,1.28
142,"Daniel Gomis, Oregon St. (Pac-12)",Jr.,6-10,F,30,41,1.37
131,"Kelvin Penn, Fla. Atlantic (C-USA)",Sr.,6-6,F,29,41,1.41
118,"Coleman Johnson, Fairfield (MAAC)",Jr.,6-6,F,28,41,1.46
199,"Yanick Moreira, SMU (AAC)",Sr.,6-11,C,34,40,1.18
188,"Rashawn Thomas, A&M-Corpus Christi (Southland)",So.,6-7,F,33,40,1.21
188,"Timmy Knipp, Eastern Ky. (OVC)",Sr.,6-7,G,33,40,1.21
180,"Terry Tarpey, William & Mary (CAA)",Jr.,6-5,G,32,40,1.25
180,"Andrew Smith, Liberty (Big South)",Sr.,6-9,F,32,40,1.25
164,"Ryan Rhoomes, Fordham (Atlantic 10)",Jr.,6-8,F,31,40,1.29
148,"Charles Jackson, Tennessee Tech (OVC)",Jr.,6-10,C,30,40,1.33
235,"Thomas Welsh, UCLA (Pac-12)",Fr.,7-0,C,36,39,1.08
218,"Kwan Cheatham, Jr., Akron (MAC)",So.,6-9,F,35,39,1.11
198,"Volodymyr Gerun, Portland (WCC)",Sr.,6-10,F,33,39,1.18
187,"Armani Moore, Tennessee (SEC)",Jr.,6-5,F,32,39,1.22
175,"Frank Snow, Southern U. (SWAC)",Sr.,6-10,C,31,39,1.26
175,"Demontez Loman, Tennessee St. (OVC)",Jr.,6-6,F,31,39,1.26
175,"Angel Delgado, Seton Hall (Big East)",Fr.,6-9,F,31,39,1.26
175,"Javon Baumann, Saint Joseph's (Atlantic 10)",So.,6-8,F,31,39,1.26
250,"Jacob Schulte, USC Upstate (ASUN)",Fr.,6-6,F,36,38,1.06
250,"Moses Kingsley, Arkansas (SEC)",So.,6-10,C,36,38,1.06
232,"Ryan Spangler, Oklahoma (Big 12)",Jr.,6-8,F,35,38,1.09
232,"Luke Kornet, Vanderbilt (SEC)",So.,6-10,F,35,38,1.09
232,"Keith Davis, Southern U. (SWAC)",---,0-0,F,35,38,1.09
172,"Justin Goldsborough, Lehigh (Patriot)",Jr.,6-8,F,30,38,1.27
172,"Taylor Danaher, Mt. St. Mary's (NEC)",Jr.,7-0,C,30,38,1.27
172,"Staphon Blair, UCF (AAC)",Jr.,6-9,F,30,38,1.27
162,"Joel Awich, Cal Poly (Big West)",Jr.,6-7,F,29,38,1.31
132,"Chris Olivier, Eastern Ill. (OVC)",Jr.,6-8,F,27,38,1.41
247,"Jamari Traylor, Kansas (Big 12)",Jr.,6-8,F,35,37,1.06
247,"Cody Larson, South Dakota St. (Summit League)",Sr.,6-9,F,35,37,1.06
247,"Quincy Ford, Northeastern (CAA)",Jr.,6-8,F,35,37,1.06
230,"Kyle Washington, NC State (ACC)",So.,6-9,F,34,37,1.09
